categoria,m1,m2,m3,m4,m5,m6,m7
circle,0.168705,6.10648e-05,2.3945e-09,7.45798e-10,-6.20038e-19,2.0267e-12,-7.80287e-19
circle,0.169809,0.000168099,7.78119e-09,9.20547e-08,-1.64468e-15,1.19011e-09,-1.83438e-15
circle,0.177344,0.00200206,1.49219e-07,4.70495e-08,3.88813e-15,1.65275e-09,6.51004e-16
circle,0.169924,3.76988e-07,1.79158e-09,1.07556e-07,5.72295e-17,-4.31569e-11,1.49194e-15
circle,0.177677,0.00248916,2.0406e-08,1.62914e-07,4.37094e-15,8.45938e-10,8.31436e-15
circle,0.17013,9.21929e-05,1.81413e-08,1.24597e-07,-4.71989e-15,-8.25191e-10,-3.57957e-15
circle,0.170794,0.000409111,1.28669e-07,1.14733e-07,-3.94743e-15,-7.90086e-10,1.33697e-14
circle,0.166946,9.62834e-05,0,0,0,0,0
circle,0.187361,0.00699262,2.366e-09,2.05286e-07,3.26863e-15,1.63226e-08,3.12807e-15
circle,0.174645,0.000167318,1.60736e-07,1.58088e-06,7.12112e-13,7.88317e-09,3.57708e-13
circle,0.176329,0.00277164,1.78563e-07,1.47403e-07,-1.34908e-14,-6.24862e-10,1.97456e-14
circle,0.176932,0.00157372,3.04527e-08,2.43316e-07,9.32062e-15,7.26386e-09,1.87563e-14
circle,0.173461,0.0010969,4.84198e-08,1.12405e-07,5.46645e-15,3.52729e-09,-6.23581e-15
circle,0.27269,0.000311441,4.12365e-06,4.11733e-05,2.39918e-10,4.69274e-07,-4.79859e-10
circle,0.17125,0.000471341,1.11307e-07,3.70906e-07,7.16133e-14,-1.41028e-09,2.34751e-14
circle,0.170776,0.00115285,1.61274e-08,2.05069e-08,3.39285e-16,6.80138e-10,-1.54811e-16
circle,0.18907,0.00588155,2.81282e-07,5.03554e-07,1.71753e-13,3.77778e-08,-8.01017e-14
circle,0.187497,0.00241527,5.13492e-08,4.16883e-07,6.02025e-14,1.39374e-08,9.79487e-15
circle,0.168229,0.000157055,1.96886e-08,1.12692e-07,-2.74047e-15,7.60506e-11,-4.54605e-15
circle,0.16863,0.000496601,9.94721e-11,1.80015e-08,-2.40627e-17,9.42106e-11,-1.12224e-18
circle,0.167221,9.78411e-06,8.99459e-10,4.17547e-10,2.55165e-19,-3.28363e-14,1.92155e-20
circle,0.172981,0.00166265,2.38023e-08,1.91988e-09,-1.24673e-17,-1.60042e-11,-3.60632e-18
circle,0.169756,2.63551e-06,2.81921e-10,3.83189e-07,-2.84886e-15,-4.68224e-10,2.78321e-15
circle,0.17165,0.00162459,1.69241e-09,1.51141e-09,1.48485e-18,4.70723e-11,1.90748e-18
circle,0.17119,6.43578e-05,3.83059e-09,3.20352e-07,-3.70517e-15,-2.4534e-09,-1.05928e-14
circle,0.167115,0.00012979,3.46927e-11,5.0165e-10,-6.23595e-20,5.03803e-12,-2.21576e-20
circle,0.177759,0.00354306,5.818e-08,3.60858e-08,-1.61911e-15,-1.08807e-09,3.35234e-16
circle,0.168918,0.000135892,7.64807e-09,3.10304e-08,-4.76407e-16,-2.78499e-10,3.93875e-17
circle,0.16881,7.71801e-07,1.16481e-07,3.75572e-08,-1.36039e-15,3.24309e-11,-2.07848e-15
square,0.172671,0.00071288,3.73133e-08,2.11874e-07,-5.63144e-15,3.87734e-09,1.79771e-14
square,0.167243,0.000155419,2.01504e-10,2.45783e-10,-4.70936e-20,9.16996e-13,-2.78213e-20
square,0.168063,2.92244e-05,3.88804e-09,1.10897e-07,1.86952e-15,5.92558e-10,1.34442e-15
square,0.183593,0.000655819,1.60703e-07,1.45841e-07,1.30464e-15,1.23402e-09,2.22889e-14
square,0.17779,0.00377427,4.69706e-10,1.0332e-08,-1.56301e-17,6.34187e-10,-1.65456e-17
square,0.174923,0.000237187,8.56745e-08,8.23257e-07,-2.97904e-14,6.57106e-10,-2.16601e-13
square,0.189975,0.000311549,3.65675e-07,4.17517e-06,-3.65164e-12,-5.58805e-08,3.64418e-12
square,0.171663,0.00028043,1.17152e-07,2.44775e-08,-2.57901e-16,3.981e-10,1.28514e-15
square,0.175046,0.00120423,7.75305e-08,8.42544e-07,1.28094e-14,-5.60082e-09,2.14959e-13
square,0.167266,6.22376e-05,2.01253e-09,2.93916e-10,1.00638e-19,-1.92251e-12,-2.02413e-19
square,0.169537,0.000345549,2.46822e-08,1.65097e-07,7.85976e-15,-3.25075e-10,7.02109e-15
square,0.176523,0.000907995,2.94123e-08,7.11408e-08,2.65113e-15,-7.21085e-10,1.88713e-15
square,0.176236,0.000835345,2.21192e-07,4.59878e-07,1.46262e-13,1.328e-08,-1.09639e-14
square,0.172242,0.000675903,1.1843e-07,5.6221e-08,1.61847e-15,-1.44962e-09,-4.29255e-15
square,0.169071,0.000614417,6.79556e-08,1.58711e-08,3.88189e-16,3.93128e-10,-3.47824e-16
square,0.167689,0.000308409,9.36722e-09,2.02556e-09,-4.26615e-18,7.33586e-12,7.72321e-18
square,0.171723,0.00158557,1.48626e-08,1.10666e-08,-9.36721e-17,-3.58443e-10,1.06627e-16
square,0.174909,0.000805564,7.27822e-08,2.99219e-07,-2.88292e-14,5.51691e-09,-3.34469e-14
square,0.177893,0.000274706,1.88812e-08,1.20845e-06,1.33042e-13,1.83734e-08,-1.24983e-13
square,0.178951,0.0035119,3.0566e-08,8.62472e-08,8.29118e-16,-3.05395e-09,4.34999e-15
square,0.168757,5.74135e-05,1.13208e-07,1.07449e-07,-1.09154e-14,5.73112e-10,4.61463e-15
square,0.184812,0.00292666,5.76827e-07,2.85622e-07,-6.0485e-14,-1.04278e-08,9.89052e-14
square,0.176096,0.00262128,6.42297e-08,4.03129e-08,2.04985e-15,-2.03051e-09,-7.76323e-17
square,0.172597,0.000748115,1.52926e-07,8.46989e-08,-9.14828e-15,-2.10185e-09,3.03815e-15
square,0.169007,0.000392647,4.59563e-09,1.81228e-08,-1.64317e-16,-1.58665e-10,1.88155e-17
square,0.176124,0.000365695,4.79172e-08,6.90585e-07,1.72496e-14,-4.29117e-09,-1.24434e-13
square,0.167041,8.52e-07,1.10777e-08,1.39367e-08,-1.46568e-16,1.0547e-11,9.22198e-17
square,0.17788,0.000479783,8.17083e-08,7.98407e-07,-1.42174e-13,9.05455e-09,1.46191e-13
square,0.167716,0.000257168,3.55226e-11,1.72592e-08,1.21077e-17,2.55284e-10,-6.0027e-18
square,0.172041,0.000111551,1.30283e-07,7.29297e-10,3.18236e-18,4.14944e-12,-6.35679e-18
square,0.168279,0.000285138,3.8398e-11,2.45896e-08,-2.37221e-17,-1.4306e-10,-2.85777e-18
square,0.173708,1.74617e-07,4.65748e-08,1.64442e-07,-3.82074e-15,6.78196e-11,-1.38747e-14
square,0.187413,0.00416988,2.64569e-08,3.4141e-08,5.17048e-17,5.16512e-10,1.02478e-15
square,0.179637,0.00303211,2.14694e-07,7.66837e-08,7.70065e-15,3.03287e-09,6.1247e-15
square,0.167976,1.54518e-05,5.60962e-08,4.76584e-09,-7.77377e-17,-1.81969e-11,5.39787e-18
square,0.171882,0.00173831,5.33135e-09,1.03499e-09,-2.4098e-18,-4.06022e-11,3.22023e-19
square,0.169989,3.423e-05,5.64775e-07,3.41888e-09,1.23159e-16,-1.55099e-12,-8.60317e-17
square,0.172059,0.00073551,6.61538e-08,8.26915e-09,-1.35733e-16,-8.45407e-11,1.37776e-16
square,0.176621,0.000938875,1.29618e-08,4.26162e-07,3.14996e-14,1.28781e-08,3.31319e-15
square,0.179353,0.0040063,1.94691e-07,2.58038e-08,-1.41548e-15,-1.06649e-09,-1.15819e-15
square,0.169152,0.000771785,6.30099e-10,3.85041e-09,3.24536e-18,1.01478e-10,-5.04349e-18
square,0.174496,0.000170708,1.17432e-07,5.2269e-07,9.4935e-14,5.62727e-09,-8.80726e-14
square,0.174257,0.000631685,1.29563e-06,8.97271e-07,3.88466e-13,2.00877e-08,8.86025e-13
square,0.173548,4.01846e-05,3.11513e-08,7.16972e-07,1.05041e-13,4.97171e-11,-2.1155e-14
square,0.168518,7.6045e-06,1.68613e-07,4.25646e-08,-6.92517e-16,-4.40704e-11,-3.53882e-15
square,0.170248,0.000376039,3.31919e-07,2.11689e-07,-2.13622e-14,4.0581e-09,5.18874e-14
square,0.176393,0.00128078,2.76967e-07,6.09926e-08,7.85839e-15,1.11021e-09,-1.04364e-15
square,0.168958,0.000452172,2.88105e-07,1.86375e-08,1.1935e-15,1.24918e-10,6.63845e-16
square,0.171352,0.000752708,8.0693e-07,8.94703e-08,-1.45217e-14,-2.44013e-09,-1.91585e-14
square,0.173092,0.0014088,7.2231e-08,4.61087e-07,6.209e-14,9.38663e-09,-5.67934e-14
square,0.171724,0.000861063,1.79163e-07,1.84568e-07,-2.20031e-14,-4.79716e-09,-2.53442e-14
square,0.173494,0.0019401,2.87838e-08,1.77934e-08,2.11185e-16,-7.49448e-10,-3.42862e-16
square,0.168228,0.000212155,7.12873e-09,4.53562e-09,2.43378e-17,5.04905e-11,-8.53378e-18
square,0.168571,0.000141978,2.66317e-08,1.03319e-07,-4.42292e-15,-8.94858e-10,3.13209e-15
square,0.168672,3.16668e-05,9.9303e-08,1.42025e-08,3.39759e-16,2.89061e-11,4.11154e-16
square,0.174527,0.00238803,1.78152e-07,5.52504e-08,5.43213e-15,2.40904e-09,-7.33918e-16
square,0.170068,0.000142822,2.41919e-07,1.49535e-07,2.75005e-14,1.23109e-09,7.25523e-15
square,0.167917,0.00024892,1.17605e-08,6.15528e-09,-5.16658e-17,6.85677e-11,-8.56073e-18
square,0.169351,9.88378e-06,6.86744e-08,1.90536e-08,-5.96645e-16,3.55011e-11,-3.4504e-16
square,0.171514,0.000113302,3.04237e-07,3.98788e-08,1.47706e-15,4.22507e-10,4.13679e-15
square,0.171837,0.000302381,3.43152e-07,9.60387e-08,-1.73034e-14,5.11296e-10,2.1351e-15
square,0.171321,0.000857896,1.69877e-06,1.37367e-07,-2.2505e-14,2.15677e-10,-6.2425e-14
square,0.168591,5.22364e-05,2.10531e-07,1.30839e-07,1.29628e-14,8.36056e-10,-1.74218e-14
square,0.170005,7.384e-06,3.3136e-07,3.85299e-07,4.73333e-14,1.69423e-10,-1.2928e-13
square,0.171923,0.00153728,8.18782e-08,2.98969e-08,-1.32532e-15,1.14584e-09,-6.56908e-16
square,0.17325,0.00064996,1.08913e-08,4.26995e-07,2.77283e-14,1.08443e-08,8.89109e-15
square,0.168288,0.000439815,4.49591e-08,5.99045e-11,-9.77337e-20,1.05998e-12,-1.06307e-20
