categoria,Z0_0_mag,Z0_0_phase,Z1_-1_mag,Z1_-1_phase,Z1_1_mag,Z1_1_phase,Z2_-2_mag,Z2_-2_phase,Z2_0_mag,Z2_0_phase,Z2_2_mag,Z2_2_phase,Z3_-3_mag,Z3_-3_phase,Z3_-1_mag,Z3_-1_phase,Z3_1_mag,Z3_1_phase,Z3_3_mag,Z3_3_phase,Z4_-4_mag,Z4_-4_phase,Z4_-2_mag,Z4_-2_phase,Z4_0_mag,Z4_0_phase,Z4_2_mag,Z4_2_phase,Z4_4_mag,Z4_4_phase
square,28927,0,378.698,3.11009,378.698,-3.11009,189.199,2.98411,627.607,3.14159,189.199,-2.98411,9.6331,1.40564,44.0045,-2.28338,44.0045,2.28338,9.6331,-1.40564,99.4675,2.93015,187.209,0.0864515,73.3183,3.14159,187.209,-0.0864515,99.4675,-2.93015
square,41107,0,309.395,-2.23671,309.395,2.23671,195.916,2.83987,400.69,3.14159,195.916,-2.83987,21.7554,2.47241,53.5087,-0.165918,53.5087,0.165918,21.7554,-2.47241,48.592,-0.900671,70.3042,0.674348,191.549,0,70.3042,-0.674348,48.592,0.900671
square,21433,0,109.849,-2.91333,109.849,2.91333,182.647,2.96219,376.54,3.14159,182.647,-2.96219,19.4029,1.10887,53.0861,2.88145,53.0861,-2.88145,19.4029,-1.10887,38.0041,1.48147,20.8136,-2.90575,21.8195,3.14159,20.8136,2.90575,38.0041,-1.48147
square,13159,0,50.7282,0.957809,50.7282,-0.957809,16.0231,-0.463,65.1889,3.14159,16.0231,0.463,25.4755,-0.29044,22.3368,0.838011,22.3368,-0.838011,25.4755,0.29044,25.4888,3.0396,9.90004,-2.29596,5.34499,3.14159,9.90004,2.29596,25.4888,-3.0396
square,11616,0,1.97825,-0.608689,1.97825,0.608689,6.16926,-1.60548,6.10051,3.14159,6.16926,1.60548,6.41588,1.22366,14.3769,2.90737,14.3769,-2.90737,6.41588,-1.22366,9.85241,2.74158,5.56423,-1.01912,1.77108,3.14159,5.56423,1.01912,9.85241,-2.74158
square,14790,0,75.2148,-1.94272,75.2148,1.94272,8.09826,-1.03466,72.394,3.14159,8.09826,1.03466,6.73783,-3.13448,15.8139,-2.6808,15.8139,2.6808,6.73783,3.13448,5.76322,2.61802,31.872,-2.24715,11.0944,0,31.872,2.24715,5.76322,-2.61802
square,20270,0,39.1107,-0.976052,39.1107,0.976052,37.3129,-0.900288,196.551,3.14159,37.3129,0.900288,45.8995,0.481883,26.6307,-2.53534,26.6307,2.53534,45.8995,-0.481883,46.2657,-1.9677,32.6032,-0.427168,24.8201,3.14159,32.6032,0.427168,46.2657,1.9677
square,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
square,18130,0,118.73,2.71822,118.73,-2.71822,84.5914,-2.5534,180.017,3.14159,84.5914,2.5534,27.5791,-2.89877,41.2649,-1.4836,41.2649,1.4836,27.5791,2.89877,25.3077,-1.08251,64.7249,-2.87037,39.477,0,64.7249,2.87037,25.3077,1.08251
square,26284,0,169.247,-2.86667,169.247,2.86667,60.8779,-2.91537,168.451,3.14159,60.8779,2.91537,44.4978,-2.99572,56.1026,-2.74335,56.1026,2.74335,44.4978,2.99572,43.4653,-2.78354,22.6076,-2.57013,11.0484,3.14159,22.6076,2.57013,43.4653,2.78354
